Publication Number,Chemical Name,Depositor Chemical Name,DTXSID,CASRN,Species,Strain,Study Number,MALE_RATS_TR_RESULT,FEMALE_RATS_TR_RESULT,MALE_MICE_TR_RESULT,FEMALE_MICE_TR_RESULT,MALE_HAMSTERS_TR_RESULT,FEMALE_HAMSTERS_TR_RESULT,MALE_FISH_TR_RESULT,FEMALE_FISH_TR_RESULT,MALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_MICE_ADRENAL_GLAND_CORTEX,MALE_RATS_ADRENAL_GLAND_MEDULLA,FEMALE_RATS_ADRENAL_GLAND_MEDULLA,MALE_MICE_ADRENAL_GLAND_MEDULLA,FEMALE_MICE_ADRENAL_GLAND_MEDULLA,MALE_RATS_ALL_ORGANS,FEMALE_RATS_ALL_ORGANS,MALE_MICE_ALL_ORGANS,FEMALE_MICE_ALL_ORGANS,MALE_RATS_BONE,MALE_RATS_BRAIN,FEMALE_RATS_BRAIN,MALE_MICE_BRAIN,FEMALE_MICE_BRAIN,FEMALE_RATS_CLITORAL_GLAND,MALE_RATS_EPIDIDYMIS,MALE_MICE_EPIDIDYMIS,MALE_RATS_EPIDIDYMIS_OR_TESTIS,MALE_RATS_ESOPHAGUS,FEMALE_RATS_ESOPHAGUS,MALE_MICE_ESOPHAGUS,FEMALE_MICE_ESOPHAGUS,MALE_RATS_FORESTOMACH,FEMALE_RATS_FORESTOMACH,MALE_MICE_FORESTOMACH,FEMALE_MICE_FORESTOMACH,MALE_RATS_GLANDULAR_STOMACH,FEMALE_RATS_GLANDULAR_STOMACH,MALE_MICE_GLANDULAR_STOMACH,MALE_MICE_HARDERIAN_GLAND,FEMALE_MICE_HARDERIAN_GLAND,MALE_RATS_HEART,FEMALE_RATS_HEART,MALE_MICE_HEART,FEMALE_MICE_HEART,MALE_RATS_HEMATOPOIETIC_SYSTEM,FEMALE_RATS_HEMATOPOIETIC_SYSTEM,MALE_MICE_HEMATOPOIETIC_SYSTEM,FEMALE_MICE_HEMATOPOIETIC_SYSTEM,MALE_RATS_INTESTINES_LARGE,FEMALE_RATS_INTESTINES_LARGE,MALE_MICE_INTESTINES_LARGE,FEMALE_MICE_INTESTINES_LARGE,MALE_RATS_INTESTINES_SMALL,FEMALE_RATS_INTESTINES_SMALL,MALE_MICE_INTESTINES_SMALL,FEMALE_MICE_INTESTINES_SMALL,MALE_RATS_KIDNEY,MALE_MICE_KIDNEY,FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,MALE_RATS_KIDNEY_TRANSITIONAL_CELL,FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,MALE_RATS_KIDNEY_TUBULAR_CELL,FEMALE_RATS_KIDNEY_TUBULAR_CELL,MALE_MICE_KIDNEY_TUBULAR_CELL,FEMALE_MICE_KIDNEY_TUBULAR_CELL,MALE_RATS_LIVER,FEMALE_RATS_LIVER,MALE_MICE_LIVER,FEMALE_MICE_LIVER,MALE_FISH_LIVER,FEMALE_FISH_LIVER,MALE_RATS_LUNG,FEMALE_RATS_LUNG,MALE_MICE_LUNG,FEMALE_MICE_LUNG,MALE_RATS_MAMMARY_GLAND,FEMALE_RATS_MAMMARY_GLAND,FEMALE_MICE_MAMMARY_GLAND,MALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_RATS_NASAL_CAVITY,FEMALE_RATS_NASAL_CAVITY,MALE_MICE_NASAL_CAVITY,FEMALE_MICE_NASAL_CAVITY,MALE_RATS_ORAL_CAVITY,FEMALE_RATS_ORAL_CAVITY,MALE_MICE_ORAL_CAVITY,FEMALE_MICE_ORAL_CAVITY,FEMALE_MICE_OVARY,MALE_RATS_PANCREAS_ACINAR_CELL,FEMALE_RATS_PANCREAS_ACINAR_CELL,MALE_RATS_PANCREAS_ISLET_CELL,FEMALE_RATS_PANCREAS_ISLET_CELL,MALE_MICE_PANCREAS_ISLET_CELL,FEMALE_MICE_PANCREAS_ISLET_CELL,MALE_RATS_PARATHYROID_GLAND,MALE_RATS_PITUITARY_GLAND,FEMALE_RATS_PITUITARY_GLAND,MALE_MICE_PITUITARY_GLAND,FEMALE_MICE_PITUITARY_GLAND,MALE_RATS_PREPUTIAL_GLAND,MALE_MICE_PREPUTIAL_GLAND,MALE_RATS_PROSTATE_GLAND,MALE_RATS_SEMINAL_VESICLE,MALE_MICE_SEMINAL_VESICLE,MALE_RATS_SKIN,FEMALE_RATS_SKIN,MALE_MICE_SKIN,FEMALE_MICE_SKIN,MALE_RATS_SPLEEN,FEMALE_RATS_SPLEEN,MALE_MICE_SPLEEN,FEMALE_MICE_SPLEEN,MALE_RATS_SUBCUTANEOUS_TISSUE,FEMALE_RATS_SUBCUTANEOUS_TISSUE,MALE_MICE_SUBCUTANEOUS_TISSUE,FEMALE_MICE_SUBCUTANEOUS_TISSUE,MALE_RATS_TESTIS,MALE_RATS_THORACIC_CAVITY,MALE_RATS_THYMUS,MALE_RATS_THYROID_GLAND,FEMALE_RATS_THYROID_GLAND,MALE_RATS_THYROID_GLAND_CCELL,FEMALE_RATS_THYROID_GLAND_CCELL,FEMALE_MICE_THYROID_GLAND_CCELL,MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,MALE_RATS_URETER,FEMALE_RATS_URETER,MALE_MICE_URETER,FEMALE_MICE_URETER,MALE_RATS_URINARY_BLADDER,FEMALE_RATS_URINARY_BLADDER,MALE_MICE_URINARY_BLADDER,FEMALE_MICE_URINARY_BLADDER,MALE_MICE_URINARY_SYSTEM,FEMALE_MICE_URINARY_SYSTEM,FEMALE_RATS_UTERUS,FEMALE_MICE_UTERUS,FEMALE_RATS_UTERUSCERVIX,FEMALE_MICE_UTERUSCERVIX,FEMALE_MICE_VAGINA,MALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_RATS_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_LIVER,FEMALE_MICE_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,MALE_RATS_VASCULAR_SYSTEM_SPLEEN,MALE_MICE_VASCULAR_SYSTEM_SPLEEN,FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,MALE_RATS_ZYMBAL_GLAND,FEMALE_RATS_ZYMBAL_GLAND,MALE_MICE_ZYMBAL_GLAND,FEMALE_MICE_ZYMBAL_GLAND
TR-382,Furfural,Furfural,DTXSID1020647,98-01-1,Mice,B6C3F1,C56177,,,Clear Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 1/50 3/50 5/50 8/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-382,Furfural,Furfural,DTXSID1020647,98-01-1,Rats,F344/N,C56177,Some Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CHOLANGIOCARCINOMA 0/50 0/50 2/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Mice,B6C3F1,C10472B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~adenoma (2/50, 6/50, 6/50, 8/50); adenoma or adenocarcinoma (2/50, 6/50, 9/50, 8/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Mice,B6C3F1,C10472B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~hepatocellular carcinoma (8/50, 19/50, 16/50, 35/50); hepatoblastoma (1/50, 1/50, 1/50, 15/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Mice,B6C3F1,C10472B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~hepatocellular adenoma (12/50, 14/50, 24/50, 34/50); hepatocellular carcinoma (7/50, 8/50, 12/50, 34/50); hepatoblastoma (0/50, 0/50, 1/50, 8/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Rats,Harlan Sprague-Dawley,C10472B,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May Have Been Related~alveolar/bronchiolar adenoma or carcinoma (0/50, 2/50, 0/50, 3/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Rats,Harlan Sprague-Dawley,C10472B,Some Evidence,Some Evidence,,,,,,,,,,,"Neoplastic Lesions~benign pheochromocytoma (0/49, 3/50, 4/50, 6/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Rats,Harlan Sprague-Dawley,C10472B,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~adenocarcinoma (1/50, 1/50, 0/50, 5/50); stromal polyp (7/50, 9/50, 16/50, 12/50)",,,,,,,,,,,,,,,,,,,,,,
TR-594,"p-Chloro-a,a,a-trifluorotoluene","p-Chloro-a,a,a-trifluorotoluene",DTXSID7024821,98-56-6,Rats,Harlan Sprague-Dawley,C10472B,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Mice,B6C3F1/N,C96011,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~hemangioscaroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Mice,B6C3F1/N,C96011,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~adenoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Mice,B6C3F1/N,C96011,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~adenoma (18/50, 23/50, 27/50, 29/50);  adenoma or carcinoma (25/50, 26/50, 29/50, 36/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Mice,B6C3F1/N,C96011,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~alveolar/bronchiolar adenoma (13/50, 31/50, 31/50, 29/50); alveolar/bronchiolar carcinoma (9/50, 19/50, 32/50, 33/50); alveolar/bronchiolar adenoma or carcinoma (19/50, 38/50, 42/50, 43/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Mice,B6C3F1/N,C96011,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~alveolar/bronchiolar adenoma (1/50, 26/50, 36/50, 38/50); alveolar/bronchiolar carcinoma (3/50, 16/50, 20/50, 34/50); alveolar/bronchiolar adenoma or carcinoma (4/50, 31/50, 42/50, 46/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Rats,F344/N,C96011,Clear Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~interstitial cell adenoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Rats,F344/N,C96011,Clear Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~renal tubule, adenoma or carcinoma (2/50, 5/50, 8/50, 7/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Rats,F344/N,C96011,Clear Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~respiratory epithelium, adenoma (0/50, 7/50, 18/49, 10/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-542,Cumene,Cumene,DTXSID1021827,98-82-8,Rats,F344/N,C96011,Clear Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~respiratory epithelium, adenoma (0/50, 5/48, 4/50, 3/50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-543,alpha-Methylstyrene,alpha-Methylstyrene,DTXSID9025661,98-83-9,Mice,B6C3F1/N,C88006B,,,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~ADENOMA OR CARCINOMA 28/50 36/50 33/50 37/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-543,alpha-Methylstyrene,alpha-Methylstyrene,DTXSID9025661,98-83-9,Mice,B6C3F1/N,C88006B,,,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 10/50 20/50 21/50 23/50 CARCINOMA 3/50 9/50 6/50 18/50 ADENOMA OR CARCINOMA 13/50 26/50 24/50 33/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-543,alpha-Methylstyrene,alpha-Methylstyrene,DTXSID9025661,98-83-9,Rats,F344/N,C88006B,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~MONONUCLEAR CELL LEUKEMIA 26/50 32/50 29/50 38/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-543,alpha-Methylstyrene,alpha-Methylstyrene,DTXSID9025661,98-83-9,Rats,F344/N,C88006B,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA (STANDARD EVALUATION) 0/50 0/50 1/50 0/50 (STANDARD AND EXTENDED EVALUATIONS COMBINED) 1/50 2/50 2/50 5/50 ADENOMA OR CARCINOMA (STANDARD EVALUATION) 0/50 0/50 2/50 2/50 (STANDARD AND EXTENDED EVALUATIONS COMBINED) 1/50 2/50 3/50 7/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-369,alpha-Methylbenzyl alcohol,alpha-Methylbenzyl alcohol,DTXSID1020859,98-85-1,Mice,B6C3F1,C55685,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-369,alpha-Methylbenzyl alcohol,alpha-Methylbenzyl alcohol,DTXSID1020859,98-85-1,Rats,F344/N,C55685,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/50 1/50 5/50 OR ADENOCARCINOMA 0/50 1/50 0/50 COMBINED 0/50 2/50 5/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-364,Rhodamine 6G,Rhodamine 6G,DTXSID1021243,989-38-8,Mice,B6C3F1,C56122,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-364,Rhodamine 6G,Rhodamine 6G,DTXSID1021243,989-38-8,Rats,F344/N,C56122,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,Neoplastic Lesions~PHEOCHROMOCYTOMA 3/50 3/50 8/50 OR MALIGNANT PHEOCHROMOCYTOMA 0/50 0/50 2/50 COMBINED 3/50 3/50 10/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-364,Rhodamine 6G,Rhodamine 6G,DTXSID1021243,989-38-8,Rats,F344/N,C56122,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~KERATOACANTHOMA 1/50 2/50 8/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-048,Pyrazinamide,Pyrazinamide,DTXSID9021215,98-96-4,Mice,B6C3F1,C01785,,,Negative,Inadequate Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-048,Pyrazinamide,Pyrazinamide,DTXSID9021215,98-96-4,Rats,F344/N,C01785,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-107,5-Nitro-o-toluidine,5-Nitro-o-toluidine,DTXSID4020959,99-55-8,Mice,B6C3F1,C01843,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CARCINOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-107,5-Nitro-o-toluidine,5-Nitro-o-toluidine,DTXSID4020959,99-55-8,Mice,B6C3F1,C01843,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CARCINOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-107,5-Nitro-o-toluidine,5-Nitro-o-toluidine,DTXSID4020959,99-55-8,Mice,B6C3F1,C01843,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~HEMANGIOMA OR HEMANGIOSARCOMA,,,,,
TR-107,5-Nitro-o-toluidine,5-Nitro-o-toluidine,DTXSID4020959,99-55-8,Mice,B6C3F1,C01843,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~HEMANGIOSARCOMA,,,,
TR-107,5-Nitro-o-toluidine,5-Nitro-o-toluidine,DTXSID4020959,99-55-8,Rats,F344/N,C01843,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-180,4-Nitro-o-phenylenediamine,4-Nitro-o-phenylenediamine,DTXSID9020958,99-56-9,Mice,B6C3F1,C03941,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-180,4-Nitro-o-phenylenediamine,4-Nitro-o-phenylenediamine,DTXSID9020958,99-56-9,Rats,F344/N,C03941,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
