CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
TR-177,4-(Chloroacetyl)acetanilide,DTXSID4020294,140-49-8,Positive,,,,,,,,,
TR-101,Formulated fenaminosulf,DTXSID6040371,140-56-7,Positive,,,,,,,,,
,Vitamin d3 emulsifiable,DTXSID1026295,1406-16-2,Equivocal,,,,,,,,,
,Pentamidine isethionate,DTXSID5023796,140-64-7,Negative; Negative,,,Negative,,,,,,
,Estragole,DTXSID0020575,140-67-0,Negative,,,Negative,Negative,,,,,
TR-259,Ethyl acrylate,DTXSID4020583,140-88-5,Weakly Positive; Negative; Negative; Negative,,,,,,,,,
,Dimethylolurea,DTXSID6025141,140-95-4,Positive,,,,,,,,,
,n-Butyl acrylate,DTXSID6024676,141-32-2,Negative,,,,,,,,,
,"9,10-Epoxyoctadecanoic acid, 2-ethylhexyl ester",DTXSID9025247,141-38-8,Negative; Equivocal,,,,,,,,,
,Ethanolamine,DTXSID6022000,141-43-5,Negative,,,,,,,,,
,Butyryl chloride,DTXSID5024710,141-75-3,Weakly Positive,,,,,,,,,
,Ethyl acetate,DTXSID1022001,141-78-6,Negative; Negative,,,,,,,,,
,Malonic acid,DTXSID7021659,141-82-2,Negative,,,,,,,,,
,Rhodanine,DTXSID4026002,141-84-4,Negative,,,,,,,,,
,"2,6-Dimethyl morpholine",DTXSID6022002,141-91-3,Positive; Negative,,,,,,,,,
,n-Hexyl methacrylate,DTXSID4025406,142-09-6,Negative,,,,,,,,,
,"2',4',5'-Trihydroxybutyrophenone",DTXSID2026232,1421-63-2,Positive,,,,,,,,,
,"1,3-Dichloropropane",DTXSID6022004,142-28-9,Positive,,,,,,,,,
TR-132,"2,5-Dithiobiurea",DTXSID8020545,142-46-1,Negative,,,,,,,,,
,Monosodium glutamate,DTXSID9020906,142-47-2,Negative,,,,,,,,,
,Bupivacaine hydrochloride,DTXSID0030877,14252-80-3,,,,Negative,,,,,,
,Amsco solvent F,DTXSID4024519,142582-74-9,Negative; Negative,,,,,,,,,
,Hexanoic acid,DTXSID7021607,142-62-1,Negative,,,,,,,,,
,Laurylethanolamide,DTXSID5025493,142-78-9,Negative,,,,,,,,,
TR-509,"2,4-Hexadienal",DTXSID20859279,142-83-6,Positive; Positive,Equivocal,,Negative; Equivocal,Negative,,,,,
,Di-n-propylamine,DTXSID2025185,142-84-7,Negative,,,,,,,,,
,Di-n-butyl ether,DTXSID1022007,142-96-1,Negative,,,,,,,,,
,C.I. Pigment Green 36,DTXSID3025912,14302-13-7,Positive,,,,,,,,,
,Lauric acid,DTXSID5021590,143-07-7,Negative,,,,,,,,,
,Dihexylamine,DTXSID1022009,143-16-8,Negative,,,,,,,,,
,Potassium oleate,DTXSID0025949,143-18-0,Negative,,,,,,,,,
,Hexadecylamine,DTXSID7025390,143-27-1,Negative,,,,,,,,,
,Ionic liquid (1-ethyl-3-methylimidazolium acetate),DTXSID2041179,143314-17-4,Negative,,,,,,,,,
,Sodium cyanide,DTXSID4024309,143-33-9,Negative,,,,,,,,,
,Emtricitabine (FTC),DTXSID0040129,143491-57-0,Negative,,,Positive,Positive,,,,Negative,Positive; Positive
TR-000_(143-50-0),Chlordecone,DTXSID1020770,143-50-0,Negative; Negative,,,,,,,,,
,trans-Cinnamaldehyde,DTXSID6024834,14371-10-9,Weakly Positive; Negative,,,Negative; Equivocal,Negative; Negative,,,,,
,Abscisic acid,DTXSID0036766,14375-45-2,Negative,,,,,,,,,
,Oxalic acid,DTXSID0025816,144-62-7,Negative,,,,,,,,,
,Sulfacetamide,DTXSID8026060,144-80-9,Negative,,,,,,,,,
,Sulfamethizole,DTXSID5023615,144-82-1,Negative; Negative,,,,,,,,,
,Sulfapyridine,DTXSID3026067,144-83-2,Negative,Equivocal,,Positive (Nonstandard Protocol); Positive; Positive,Positive,,,,,
,Guanazole,DTXSID0025367,1455-77-2,Negative,,,,,,,,,
,Chromium picolinate,DTXSID1024831,14639-25-9,Negative; Negative,Negative,,,,,,,,
TR-168,N-(1-Naphthyl)ethylenediamine dihydrochloride,DTXSID8020917,1465-25-4,Positive,,,,,,,,,
,Dimethylcyanamide,DTXSID9025116,1467-79-4,Negative; Negative,,,,,,,,,
,Tenofovir,DTXSID9040132,147127-20-6,Positive,,,Negative,Positive,,,,,
TR-355,Diphenhydramine hydrochloride,DTXSID4020537,147-24-0,Negative,,,,,,,,,
TR-456,"1,2-Dihydro-2,2,4-trimethylquinoline (monomer)",DTXSID0025070,147-47-7,Negative,,,Negative,Negative (Nonstandard Protocol),,,,,
,2-Amino-4-methylbenzothiazole,DTXSID9024487,1477-42-5,Negative,,,,,,,,,
,Bisphenol AF,DTXSID7037717,1478-61-1,Negative,Negative,Negative,,,,,,,
TR-172,Sodium diethyldithiocarbamate,DTXSID3022956,148-18-5,Negative,,,,,,,,,
TR-276,8-Hydroxyquinoline,DTXSID5020730,148-24-3,Positive,,,Negative,,,,,,
,Thiabendazole,DTXSID0021337,148-79-8,Positive,,,,,,,,,
,Bismuth subsalicylate,DTXSID6024622,14882-18-9,Negative,,,,,,,,,
,Melphalan,DTXSID6020804,148-82-3,Positive,,,Weakly Positive; Positive; Positive; Positive; Positive,Positive; Positive; Positive; Positive,,,,,
TR-332,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Negative; Equivocal,Negative,,Negative,,,,,,
,2-Ethylhexanoic acid,DTXSID9025293,149-57-5,Negative,,,,,,,,,
,Gallic acid,DTXSID0020650,149-91-7,Negative; Equivocal,,,,,,,,,
,p-Aminobenzoic acid,DTXSID6024466,150-13-0,Negative,,,,,,,,,
TR-011,Trisodium ethylenediaminetetraacetate trihydrate (EDTA),DTXSID7020556,150-38-9,Negative,,,,,,,,,
,o-Methoxycinnamaldehyde,DTXSID2025551,1504-74-1,Weakly Positive,,,,,,,,,
TR-266,Monuron,DTXSID0020311,150-68-5,Negative,,,Positive,,,,,,
,Dulcin,DTXSID9020580,150-69-6,Negative,,,,,,,,,
,Hydroquinone monomethyl ether,DTXSID4020828,150-76-5,Negative; Negative,,,,,,,,,
,Hydroquinone dimethyl ether,DTXSID0022014,150-78-7,Negative,,,,,,,,,
,"2,5-Dinitro-9H-fluorene",DTXSID9025162,15110-74-4,Positive,,,,,,,,,
,Sodium dodecyl sulfate,DTXSID1026031,151-21-3,Negative; Negative,,,,,,,,,
,o-Nitrophenethyl alcohol,DTXSID2025763,15121-84-3,Positive; Positive; Negative,,,,,,,,,
,Aziridine,DTXSID8020599,151-56-4,Positive,,,,,,,,,
,Halothane,DTXSID4025371,151-67-7,Negative,,,,,,,,,
,"3-Bromo-2,2-bis(bromomethyl)propanol",DTXSID9024641,1522-92-5,Positive,,,,,,,,,
,Stearatochromic chloride complex,DTXSID0026046,15242-96-3,Positive,,,,,,,,,
,DL-menthol,DTXSID1020805,15356-70-4,Negative,,,Negative,,,,,,
,Phenylpropanolamine hydrochloride,DTXSID2025896,154-41-6,Negative,,,,,,,,,
,6-Thioguanine (6-TG),DTXSID6023652,154-42-7,Positive; Negative,,,Positive,,,,,,
,Efavirenz (EFV),DTXSID9046029,154598-52-4,Negative,,,,,,,,,
,Tripelennamine hydrochloride,DTXSID6026248,154-69-8,Negative,,,,,,,,,
TR-200,"2,6-Toluenediamine dihydrochloride",DTXSID4020404,15481-70-6,Positive,,,Positive; Positive,,,,,,
,Crystal violet lactone,DTXSID8024866,1552-42-7,Negative,,,,,,,,,
TR-190,p-Nitrosodiphenylamine,DTXSID1021031,156-10-5,Weakly Positive,,,,,,,,,
TR-576,Trimethylolpropane triacrylate,DTXSID0027773,15625-89-5,Negative,,,Negative; Negative,Negative; Negative,,,,,
,p-Azoxyanisole,DTXSID5024554,1562-94-3,Positive,,,,,,,,,
,p-Phenetidine,DTXSID0025864,156-43-4,Positive,,,,,,,,,
,"cis-1,2-Dichloroethylene",DTXSID2024030,156-59-2,Negative; Negative,,,,,,,,,
,"trans-1,2-Dichloroethylene",DTXSID7024031,156-60-5,Negative,,,Negative; Negative,Negative; Negative,,,,,
TR-163,Calcium cyanamide,DTXSID6020353,156-62-7,Weakly Positive; Equivocal,,,,,,,,,
,cis-Dichlorodiamine platinum,DTXSID4024983,15663-27-1,Positive,,,,,,,,,
,4-Chloro-o-cresol,DTXSID5022510,1570-64-5,Negative,,,,,,,,,
,Methyl-p-formyl benzoate,DTXSID4025610,1571-08-0,Negative,,,,,,,,,
,C.I. Disperse Blue 27,DTXSID3025209,15791-78-3,Positive,,,,,,,,,
TR-034,Trifluralin,DTXSID4021395,1582-09-8,Positive,,,,,,,,,
,"2,3,4-Trichlorophenol",DTXSID5026207,15950-66-0,Negative,,,,,,,,,
TR-083,Daminozide,DTXSID9020370,1596-84-5,Negative,,,Equivocal,,,,,,
,C.I. Direct Brown 95,DTXSID3020201,16071-86-6,Weakly Positive; Negative,,,,,,,,,
,Di(n-octyl)tin maleate,DTXSID8025173,16091-18-2,Negative,,,,,,,,,
,Vincamine,DTXSID9040134,1617-90-9,Negative,,,,,,,,,
,Ethylidenenorbornene,DTXSID1025306,16219-75-3,Negative; Negative,,,,,,,,,
,Zinc myristate,DTXSID7026312,16260-27-8,Negative,,,,,,,,,
,Ethyl vinyl ketone,DTXSID5025318,1629-58-9,Positive,Negative,,Negative; Negative,Negative,,,,,
,"3,3'-(1,4-Phenylene)bis-2-propenoic acid",DTXSID9025879,16323-43-6,Negative,,,,,,,,,
,Methyl-t-butyl ether,DTXSID3020833,1634-04-4,Negative,Negative,,,,,,,,
TR-135,Malaoxon,DTXSID9020790,1634-78-2,Negative,,,,,,,,,
,o-Cresidine,DTXSID9024855,16452-01-0,Positive,,,,,,,,,
,Aldicarb oxime,DTXSID9024431,1646-75-9,Negative,,,,,,,,,
,2-Methyl-3-butenenitrile,DTXSID5025578,16529-56-9,Weakly Positive; Negative,,,,,,,,,
,Bisphenol A diglycidyl ether,DTXSID6024624,1675-54-3,Positive,,,,,,,,,
,"1,2,3,4-Tetrahydro-9-acridinamine monohydrochloride",DTXSID1026112,1684-40-8,Positive,,,Negative,,,,,,
,Benzyl violet 4B,DTXSID7021441,1694-09-3,Positive,,,,,,,,,
TR-112,3-Amino-4-ethoxyacetanilide,DTXSID7020053,17026-81-2,Positive,,,,,,,,,
,"1,2,3,4-Butanetetracarboxylic acid",DTXSID6024670,1703-58-8,Positive,,,,,,,,,
,Alizarin yellow R sodium salt,DTXSID9024433,1718-34-9,Positive,,,,,,,,,
,Diethyldichlorosilane,DTXSID3025043,1719-53-5,Negative,,,,,,,,,
,Mepivicaine hydrochloride,DTXSID4031566,1722-62-9,,,,Equivocal,,,,,,
,"1,1-Dimethyl-1-(2-hydroxpropylamine)methacrylimide",DTXSID8025125,17341-40-1,Negative,,,,,,,,,
,Indoxacarb,DTXSID1032690,173584-44-6,,,,,,,Negative,,,
,3-Propylidenephthalide,DTXSID7025972,17369-59-4,Positive,,,,,,,,,
,Eosin,DTXSID0025234,17372-87-1,Positive,,,,,,,,,
,Iodoethyl benzene,DTXSID5025447,17376-04-4,Negative,,,,,,,,,
,C.I. Disperse Red 60,DTXSID2025210,17418-58-5,Positive,,,,,,,,,
,1-Acetyl-2-picolinoyl hydrazine,DTXSID2024408,17433-31-7,Negative,,,,,,,,,
"TR-201, TR-209, TR-521","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Negative,,,,,,,,,
,6-Methoxy-2-benzothiazolamine,DTXSID9024485,1747-60-0,Positive; Positive,,,Negative; Negative,Positive,,,,,
,Neopentyl glycol diglycidyl ether,DTXSID8025707,17557-23-2,Positive,,,,,,,,,
,"4,4'-Diaminodicyclohexylmethane",DTXSID0024921,1761-71-3,Negative,,,,,,,,,
,Perfluorooctane sulfonic acid (PFOS),DTXSID3031864,1763-23-1,Negative,Negative,Positive,,,,,,,
,"2,3,4-Trichloronitrobenzene",DTXSID0026202,17700-09-3,Positive,,,,,,,,,
TR-133,3-Nitro-p-acetophenetide,DTXSID5020942,1777-84-0,Positive,,,,,,,,,
,Benomyl,DTXSID5023900,17804-35-2,Negative,,,,,,,,,
,Tetraethylene glycol diacrylate,DTXSID2026107,17831-71-9,Negative,,,,,,,,,
,Prilocaine hydrochloride,DTXSID2031956,1786-81-8,,,,Negative,,,,,,
TR-235,Zearalenone,DTXSID0021460,17924-92-4,Negative,,,,,,,,,
,Methyltris(trimethylsiloxy)silane,DTXSID9025669,17928-28-8,Negative,,,,,,,,,
,Trioctyl phosphate,DTXSID6026246,1806-54-8,Negative,,,,,,,,,
,"2-Bromo-4,6-dinitroaniline",DTXSID4024646,1817-73-8,Positive,,,,,,,,,
TR-414,Pentachloroanisole,DTXSID2021103,1825-21-4,Positive,,,,,,,,,
,D&C Red No. 28,DTXSID1031090,18472-87-2,Positive,,,,,,,,,
,Dimethyloldihydroxyethyleneurea,DTXSID1025140,1854-26-8,Positive; Negative,,,,,,,,,
,2-(2-Methylpropyl) thiazole,DTXSID5025653,18640-74-9,Positive,,,,,,,,,
TR-006,Nitrilotriacetic acid trisodium monohydrate,DTXSID5020940,18662-53-8,Negative,,,,,,,,,
,"2,4,6-Trichloronitrobenzene",DTXSID0026204,18708-70-8,Negative,,,,,,,,,
TR-572,Methyl trans-styryl ketone,DTXSID1031626,1896-62-4,Positive,,,Negative; Negative,Negative; Negative,,,,,
TR-041,Chlorothalonil,DTXSID0020319,1897-45-6,Negative,,,,,,,,,
TR-151,Lead dimethyldithiocarbamate,DTXSID6020775,19010-66-3,Positive,,,,,,,,,
,Atrazine,DTXSID9020112,1912-24-9,Negative,,,,,,,,,
TR-023,Picloram,DTXSID1021160,1918-02-1,Negative,,,,,,,,,
,Diborane,DTXSID9024938,19287-45-7,Negative,,,,,,,,,
,Benzo(e)pyrene,DTXSID3023764,192-97-2,Positive,,,,,,,,,
,2-Chloro-6-(trichloromethyl)pyridine,DTXSID0024216,1929-82-4,Positive,,,,,,,,,
TR-211,C.I. Acid Orange 10,DTXSID6021082,1936-15-8,Negative; Equivocal,,,Negative,,,,,,
,C.I. Direct Black 38,DTXSID7020184,1937-37-7,Positive; Positive,,,,,,,,,
,Tetrapropylammonium bromide,DTXSID9026130,1941-30-6,Weakly Positive; Negative,,,,,,,,,
TR-459,t-Butylhydroquinone,DTXSID6020220,1948-33-0,Negative; Equivocal,,,Negative,,,,,,
,"2,3-Dibromopropyl acrylate",DTXSID7024950,19660-16-3,Positive,,,,,,,,,
,1-Bromo-2-propanol,DTXSID8024656,19686-73-8,Positive,,,,,,,,,
TR-446,1-trans-delta-9-Tetrahydrocannabinol,DTXSID6021327,1972-08-3,Negative,,,,,,,,,
,2-Methyl-3-nitrobenzoic acid,DTXSID7025637,1975-50-4,Positive,,,,,,,,,
,2-Methyl-5-nitrobenzoic acid,DTXSID2025638,1975-52-6,Positive,,,,,,,,,
,(2-Dodecenyl)succinic anhydride,DTXSID7025217,19780-11-1,Negative,,,,,,,,,
,2-Amino-4-chlorobenzothiazole,DTXSID0024470,19952-47-7,Negative,,,,,,,,,
,"1,2,3,4-Tetrachloronaphthalene",DTXSID5026095,20020-02-4,Negative,,,,,,,,,
,DMA-4 herbicide,DTXSID0024896,2008-39-1,Negative,,,,,,,,,
,"3,4,5-Trichloronitrobenzene",DTXSID5026205,20098-48-0,Positive,,,,,,,,,
,Amiloride hydrochloride,DTXSID2024452,2016-88-8,Positive,,,,,,,,,
TR-351,p-Chloroaniline hydrochloride,DTXSID4020296,20265-96-7,,,,Positive,,,,,,
,N-Methyl-3-oxobutyramide,DTXSID9040138,20306-75-6,Equivocal,,,Negative,,,,,Negative,
,Cyclopentaphenanthrene,DTXSID70873066,203-64-5,Positive,,,,,,,,,
,o-Chlorostyrene,DTXSID3024811,2039-87-4,Negative,,,,,,,,,
,"N,N-Dimethylacetoacetamide",DTXSID8027454,2044-64-6,Negative,,,Negative,,,,,Equivocal,
,Phenbenzamine hydrochloride,DTXSID1025859,2045-52-5,Negative,,,,,,,,,
,Di-n-amylamine,DTXSID4024931,2050-92-2,Negative,,,,,,,,,
,2-Bromobiphenyl,DTXSID0024638,2052-07-5,Negative,,,,,,,,,
TR-315,Oxytetracycline hydrochloride,DTXSID5021097,2058-46-0,Negative,,,,,,,,,
,Benzo(b)fluoranthene,DTXSID0023907,205-99-2,Positive,,,,,,,,,
,Vincristine sulfate salt,DTXSID8044331,2068-78-2,,Positive; Positive; Negative,,Positive; Positive,,,Positive,,,
,Neohesperidin dihydrochalcone,DTXSID3025706,20702-77-6,Negative,,,,,,,,,
,Benzo(k)fluoranthene,DTXSID0023909,207-08-9,Positive,,,,,,,,,
TR-152,Ethyl tellurac,DTXSID3020594,20941-65-5,Negative; Negative,,,,,,,,,
,2-methylcyclohexanemethanol,DTXSID60273950,2105-40-0,Negative,,,,,,,,,
,"5,7-Dihydroxy-4-methylcoumarin",DTXSID0025078,2107-76-8,Negative,,,,,,,,,
,3-Bromobiphenyl,DTXSID5024639,2113-57-7,Negative,,,,,,,,,
,"3,3',4,4'-Tetrachloroazoxybenzene",DTXSID1026087,21232-47-3,Negative,,,Positive; Negative,Positive,,,,,
,2-Ethylhexyl-p-dimethyl-aminobenzoate,DTXSID7029320,21245-02-3,Negative,,,,,,,,,
,C.I. Direct Blue 25,DTXSID1025196,2150-54-1,Negative,,,,,,,,,
,2-Amino-4-thiazoline-4-carboxylic acid,DTXSID9024510,2150-55-2,Negative,,,,,,,,,
,n-Octyl methacrylate,DTXSID6025806,2157-01-9,Negative; Equivocal,,,,,,,,,
,Monosodium methane arsenate,DTXSID2025686,2163-80-6,Negative,,,,,,,,,
TR-195,Fluometuron,DTXSID8020628,2164-17-2,Negative,,,,,,,,,
TR-207,Cytembena,DTXSID5020368,21739-91-3,Positive,,,Negative,,,,,,
,Allyl propyl disulfide,DTXSID8024448,2179-59-1,Negative,,,,,,,,,
,Nifedipine,DTXSID2025715,21829-25-4,Negative,,,,,,,,,
,"Tetrabromobisphenol A-bis(2,3-dibromopropyl ether)",DTXSID3032129,21850-44-2,Negative,,,Negative,Negative,,,,,
TR-233,2-Biphenylamine hydrochloride,DTXSID4020163,2185-92-4,Positive; Positive,,,Negative,,,,,,
,p-Cresol glycydyl ether,DTXSID3024863,2186-24-5,Positive,,,,,,,,,
,2-Chloroethyl acrylate,DTXSID8024783,2206-89-5,Positive,,,,,,,,,
,N-Propyl methacrylate,DTXSID2025973,2210-28-8,Negative,,,,,,,,,
,o-Cresyl glycidyl ether,DTXSID8024862,2210-79-9,Positive,,,,,,,,,
,"2,3-Dichloroquinoxaline",DTXSID1025013,2213-63-0,Negative,,,,,,,,,
,N-N-Diethyl-4-Nitrobenzenamine,DTXSID7025057,2216-15-1,Positive,,,,,,,,,
,d-Neomenthol,DTXSID9044326,2216-52-6,Negative,,,,,,,,,
,Phenamiphos,DTXSID3024102,22224-92-6,Negative,,,,,,,,,
,Octachloronaphthalene,DTXSID6025800,2234-13-1,Negative,,,,,,,,,
TR-499,Indium phosphide,DTXSID3031444,22398-80-7,,,,Negative,Negative,,,,,
,"1,4-Naphthalenediamine",DTXSID6025696,2243-61-0,Positive; Negative,,,,,,,,,
TR-143,"1,5-Naphthalenediamine",DTXSID3020916,2243-62-1,Positive,,,,,,,,,
TR-381,D-Carvone,DTXSID8020256,2244-16-8,Negative,,,,,,,,,
,"s-Triazine-2,4,6(1H,3H,5H)-trione, 1,3-dichloro-, potassium salt",DTXSID5026178,2244-21-5,Negative,,,,,,,,,
,Aspartame,DTXSID0020107,22839-47-0,Negative,Negative; Negative,,Negative; Negative; Negative,Positive; Negative; Negative,,,,,
,Methylsilatrane,DTXSID4025660,2288-13-3,Negative,,,,,,,,,
,Silybin,DTXSID8026018,22888-70-6,Negative,,,,,,,,,
,Potassium hydroxycitrate tribasic monohydrate,DTXSID90725093,232281-44-6,Negative,,,,,,,,,
TR-508,Riddelliine,DTXSID4026006,23246-96-0,Positive,,,Negative,Negative,,,,,
,Hycanthone methanesulfonate,DTXSID4025408,23255-93-8,Positive,,,,,,,,,
,Thiophanate M,DTXSID1024338,23564-05-8,Positive; Equivocal,,,,,,,,,
,"3,3'-Dihydroxybenzidine",DTXSID5025073,2373-98-0,Positive,,,,,,,,,
,1-Methyl pyrene,DTXSID0025654,2381-21-7,Positive,,,,,,,,,
TR-313,Mirex,DTXSID7020895,2385-85-5,Negative,,,,,,,,,
,"1,2-Epoxydecane",DTXSID4025242,2404-44-6,Negative,,,,,,,,,
,"5,6-Dichloro-2-benzothiazolamine",DTXSID5024477,24072-75-1,Negative,,,Negative,Negative,,,,,
,(+)-2-Methylbutyl-4-methoxybenzyladine-4'-aminocyannate,DTXSID4025581,24140-30-5,Positive,,,,,,,,,
,Econazole nitrate,DTXSID6025226,24169-02-6,Negative,,,,,,,,,
,"1,4-Butanediol diglycidyl ether",DTXSID7024667,2425-79-8,Positive,,,,,,,,,
TR-407,C.I. Pigment Red 3,DTXSID8021226,2425-85-6,Positive,,,,,,,,,
,n-Butyl Glycidyl Ether,DTXSID9024691,2426-08-6,Positive,,,,,,,,,
,2-Acetylthiazole,DTXSID0030162,24295-03-2,Negative,,,,,,,,,
,C.I. Direct Blue 8,DTXSID6025193,2429-71-2,Negative,,,,,,,,,
,C.I. Direct Blue 2,DTXSID6025191,2429-73-4,Positive,,,,,,,,,
TR-397,C.I. Direct Blue 15,DTXSID7020186,2429-74-5,Negative,,,,,,,,,
,C.I. Direct Brown 2,DTXSID6025199,2429-82-5,Positive; Equivocal,,,,,,,,,
TR-216,11-Aminoundecanoic acid,DTXSID5020077,2432-99-7,Negative,,,Negative,,,,,,
,S-adenosylmethionine chloride,DTXSID5032020,24346-00-7,,,,Negative; Negative,,,,,,
,Benzimidazol-2-ylurea,DTXSID3024574,24370-25-0,Positive,,,,,,,,,
,Malachite green oxalate,DTXSID6025513,2437-29-8,Negative,Negative,,,,,,,,
TR-331,"Malonaldehyde, sodium salt",DTXSID4020793,24382-04-5,Negative,,,,,,,,,
TR-114,"2,3,5,6-Tetrachloro-4-nitroanisole",DTXSID2021313,2438-88-2,Negative,,,,,,,,,
,2-(Dimethylamino)ethyl acrylate,DTXSID5025100,2439-35-2,Negative,,,,,,,,,
,"1,3,5-Triglycidyl isocyanurate",DTXSID4026262,2451-62-9,Positive,,,,,,,,,
,2-methyl-6-ethylanline (2M6EA),DTXSID7027833,24549-06-2,Negative,,,,,,,,,
,N-(4-(5-Nitro-2-furyl)-2-thiazolyl)formamide,DTXSID4020953,24554-26-5,Positive,,,,,,,,,
,2-Ethylhexyl glycidyl ether,DTXSID6025301,2461-15-6,Positive,,,,,,,,,
,Lauryl glycidyl ether,DTXSID0025494,2461-18-9,Negative,,,,,,,,,
,Auramine,DTXSID7043821,2465-27-2,Positive,,,,,,,,,
,Vat brown 1,DTXSID7026283,2475-33-4,Negative,,,,,,,,,
TR-299,C.I. Disperse Blue 1,DTXSID7020188,2475-45-8,Positive,,,Negative,,,,,,
,Tripropylene glycol,DTXSID7027837,24800-44-0,Negative,,,,,,,,,
,Rescinnamine,DTXSID3023554,24815-24-5,Negative,,,,,,,,,
TR-129,Trimethylthiourea,DTXSID6021404,2489-77-2,Negative,,,,,,,,,
,Sodium mercaptobenzothiazole,DTXSID1026035,2492-26-4,Weakly Positive; Negative,,,,,,,,,
,p-n-Octyloxybenzoic acid,DTXSID1025807,2493-84-7,Negative,,,,,,,,,
TR-375,Vinyl toluene,DTXSID6026292,25013-15-4,Negative,,,,,,,,,
,Butylated hydroxyanisole (BHA),DTXSID7020215,25013-16-5,Negative,Negative,,,,,,,,
,tert-Dodecyl mercaptan,DTXSID1025221,25103-58-6,Negative; Negative,,,,,,,,,
,N-Methyl-o-phenylenediamine 2HCl,DTXSID5025651,25148-68-9,Positive,,,,,,,,,
,"2,4-Decadienal",DTXSID4047626,25152-84-5,Negative; Negative,Positive (Nonstandard Protocol),,Negative; Equivocal,Negative,,,,,
,Trixylenyl phosphate mixed isomers,DTXSID9026267,25155-23-1,Negative,,,,,,,,,
,bis t-Butyldioxyisopropylbenzene,DTXSID7024611,25155-25-3,Negative,,,,,,,,,
,"Dodecylbenzenesulfonic acid, sodium salt",DTXSID7025219,25155-30-0,Negative,,,,,,,,,
,1-n-Butene,DTXSID1026746,25167-67-3,Negative,,,,,,,,,
,"2,4,5-T isooctyl ester",DTXSID7026075,25168-15-4,Negative,,,,,,,,,
,"2,4-D isooctyl ester",DTXSID0020444,25168-26-7,Negative,,,,,,,,,
,2-(3-Methyl-2-butenyl)cyclopentanone,DTXSID0025579,2520-60-7,Negative,,,,,,,,,
TR-511,Dipropylene glycol,DTXSID0027856,25265-71-8,Negative,,,,,,,,,
,Dibutyl phenyl phosphate,DTXSID50873428,2528-36-1,Negative,,,,,,,,,
,"Adriamycin, hydrochloride",DTXSID3030636,25316-40-9,,,,Positive,,,,,,
,2-Methyl phenanthrene,DTXSID1025649,2531-84-2,Positive,,,,,,,,,
,Polyethylene glycol 200,DTXSID9026922,25322-68-3,Negative,,,,,,,,,
,Mannide monooleate,DTXSID0025525,25339-93-9,Negative,,,,,,,,,
,Zirconium oxychloride hexahydrate,DTXSID2026317,25399-81-9,Negative,,,,,,,,,
,"1,3,5,7,9,11-Hexabromocyclododecane",DTXSID8025383,25637-99-4,Negative,,,,,,,,,
,Poly(2-hydroxypropyl methacrylate),DTXSID1025934,25703-79-1,Negative,,,,,,,,,
,Reactive blue 19,DTXSID5025992,2580-78-1,Positive,,,,,,,,,
,"2,4-bis(p-Aminobenzyl) aniline",DTXSID8024606,25834-80-4,Positive,,,,,,,,,
,Azoxymethane,DTXSID3020124,25843-45-2,Weakly Positive,,,,,,,,,
,Butyltin-tris(isooctylmercaptoacetate),DTXSID6024703,25852-70-4,Negative,,,,,,,,,
,5-Diethylamino-2-nitrosophenol hydrochloride,DTXSID4025036,25953-06-4,Negative; Negative,,,,,,,,,
,Allura red C.I.16035,DTXSID4024436,25956-17-6,Negative,,,,,,,,,
,Stearylpalmate,DTXSID0026048,2598-99-4,Negative,,,,,,,,,
,C.I. Direct Blue 6,DTXSID2020185,2602-46-2,Negative; Negative,,,,,,,,,
,"5-(4-Nitrophenyl)-2,4-pentadien-1-al (NPPD)",DTXSID6025773,2608-48-2,,,,,Positive (Nonstandard Protocol),,,,,
,C.I. Direct Blue 1,DTXSID1025190,2610-05-1,Positive; Negative,,,,,,,,,
,Dibenzooxathiane,DTXSID4024937,262-20-4,Negative,,,,,,,,,
,4-Methoxybenzilidine-4'-N-butylaniline (MBBA),DTXSID8025549,26227-73-6,Positive,,,,,,,,,
,2-Ethylhexenal,DTXSID9025295,26266-68-2,Negative,,,,,,,,,
,"Di(n-octyl)tin-S,S'-bis(isooctylmercaptoacetate)",DTXSID3025172,26401-97-8,Positive,,,,,,,,,
,Cresyl diphenyl phosphate,DTXSID3024861,26444-49-5,Negative,,,,,,,,,
,Acetin,DTXSID5024396,26446-35-5,Positive,,,,,,,,,
,p-Nitrohippuric acid,DTXSID8025759,2645-07-0,Positive,,,,,,,,,
,Oil orange,DTXSID6025808,2646-17-5,Positive,,,,,,,,,
TR-251,"2,4- & 2,6-Toluene diisocyanate",DTXSID0024341,26471-62-5,Positive,,,,,,,,,
